firm,year,invest,mvalue,capital
9,1949,38.0,382.4,113.5
9,1950,43.4,415.5,113.7
9,1951,52.4,510.8,131.8
9,1952,57.0,534.6,155.4
9,1953,64.2,632.1,188.2
9,1954,65.2,557.5,215.2
10,1935,12.9,196.4,5.5
10,1936,21.3,291.7,9.2
10,1937,23.9,366.2,18.6
10,1938,16.3,264.3,29.4
10,1939,17.2,290.5,30.8
10,1940,24.2,350.2,29.2
10,1941,31.4,413.2,34.3
10,1942,28.9,345.1,44.3
10,1943,29.6,332.1,43.3
10,1944,28.7,318.0,35.8
10,1945,30.0,348.0,41.3
10,1946,36.8,414.4,50.2
10,1947,34.5,308.3,77.0
10,1948,31.1,281.2,96.0
10,1949,28.8,302.4,104.5
10,1950,34.2,335.2,104.1
10,1951,41.2,417.1,120.7
10,1952,45.2,447.4,145.3
10,1953,51.9,537.1,177.7
10,1954,52.2,467.7,205.5
11,1935,23.9,331.0,8.1
11,1936,37.3,488.7,13.1
11,1937,40.2,593.1,25.2
11,1938,28.0,430.6,39.2
11,1939,29.3,470.0,43.5
11,1940,39.6,555.9,43.4
11,1941,50.1,648.7,51.2
11,1942,46.0,536.4,65.2
11,1943,47.2,517.4,63.1
11,1944,46.0,488.9,51.7
11,1945,48.3,529.6,60.8
11,1946,60.4,624.9,79.1
11,1947,55.5,467.6,122.7
11,1948,50.4,424.3,151.8
11,1949,46.8,462.4,163.3
11,1950,55.2,511.0,161.3
11,1951,66.7,632.1,188.1
11,1952,72.4,661.5,224.4
11,1953,82.0,780.4,273.2
11,1954,82.8,682.4,310.6
12,1935,10.0,166.2,4.3
12,1936,16.5,246.9,7.2
12,1937,18.5,309.4,14.0
12,1938,12.8,224.6,21.9
12,1939,13.6,250.0,23.7
12,1940,19.0,303.2,23.4
12,1941,24.8,356.3,28.3
12,1942,23.0,298.3,37.7
12,1943,23.6,287.7,37.2
12,1944,23.0,273.9,29.7
12,1945,24.3,304.0,35.8
12,1946,30.6,363.9,45.5
12,1947,28.5,273.4,70.9
12,1948,25.5,246.6,87.5
12,1949,23.6,267.5,94.3
12,1950,28.1,296.1,94.1
12,1951,34.0,370.7,109.2
12,1952,37.5,396.3,131.2
12,1953,43.2,467.0,161.3
12,1954,43.5,411.6,186.3
13,1935,18.9,279.4,7.2
13,1936,30.2,415.6,11.6
13,1937,32.6,506.7,22.3
13,1938,23.0,368.4,34.4
13,1939,24.2,403.0,37.2
13,1940,33.0,480.0,36.5
13,1941,42.1,560.4,43.5
13,1942,39.2,465.7,55.4
13,1943,40.2,451.0,53.2
13,1944,39.3,428.4,43.0
13,1945,41.2,471.5,51.3
13,1946,51.4,551.6,66.1
13,1947,47.4,417.2,101.5
13,1948,43.3,381.8,127.4
13,1949,40.7,415.5,138.5
13,1950,47.6,456.9,137.6
13,1951,57.2,557.5,163.4
13,1952,62.5,585.0,196.7
13,1953,71.4,692.2,241.0
13,1954,72.8,609.3,277.5
14,1935,8.4,128.8,3.3
14,1936,13.8,191.4,5.6
14,1937,15.4,239.9,11.1
14,1938,10.8,173.4,17.4
14,1939,11.5,194.4,18.7
14,1940,16.2,235.4,17.9
14,1941,21.0,275.4,22.3
14,1942,19.6,229.2,29.9
14,1943,20.1,220.8,28.7
14,1944,19.6,208.8,22.6
14,1945,20.6,232.7,28.3
14,1946,25.7,279.8,37.2
14,1947,24.1,213.7,59.4
14,1948,21.6,194.6,75.7
14,1949,20.0,213.3,82.8
14,1950,23.6,236.0,82.2
14,1951,28.7,292.3,97.7
14,1952,31.5,313.9,118.1
14,1953,36.2,371.5,146.5
14,1954,36.6,328.3,167.8
15,1935,14.4,213.6,5.5
15,1936,23.3,318.2,8.8
15,1937,25.5,391.4,17.0
15,1938,18.1,284.4,26.4
15,1939,19.2,316.5,28.5
15,1940,26.7,383.0,27.8
15,1941,34.2,446.5,34.3
15,1942,31.8,368.7,44.9
15,1943,32.7,354.3,42.4
15,1944,31.7,330.7,33.1
15,1945,33.3,371.6,40.3
15,1946,41.5,439.5,53.4
15,1947,38.5,334.7,84.3
15,1948,35.0,307.1,106.0
15,1949,32.8,336.5,115.5
15,1950,38.7,371.8,114.7
15,1951,46.8,456.7,136.8
15,1952,51.4,482.2,165.5
15,1953,58.7,568.9,205.1
15,1954,59.6,500.6,235.3
16,1935,6.3,107.0,2.8
16,1936,10.4,158.7,4.7
16,1937,11.6,199.0,9.6
16,1938,8.2,144.3,15.4
16,1939,8.7,162.4,16.3
16,1940,12.2,197.2,15.4
16,1941,15.9,230.2,19.9
16,1942,14.8,191.5,27.1
16,1943,15.2,183.6,25.6
16,1944,14.8,170.2,18.8
16,1945,15.5,193.5,24.0
16,1946,19.4,230.4,31.8
16,1947,18.1,177.9,51.4
16,1948,16.2,163.4,65.6
16,1949,15.0,180.3,72.1
16,1950,17.8,200.9,71.6
16,1951,21.7,250.8,86.7
16,1952,23.9,265.3,106.8
16,1953,27.4,313.6,132.4
16,1954,27.9,276.8,150.1
17,1935,11.3,175.7,4.7
17,1936,18.3,261.8,7.4
17,1937,20.0,324.9,14.6
17,1938,14.2,236.2,23.0
17,1939,15.0,262.9,24.9
17,1940,21.0,317.7,23.6
17,1941,26.7,370.9,30.0
17,1942,24.7,304.4,40.0
17,1943,25.4,292.3,37.3
17,1944,24.6,273.0,28.0
17,1945,25.9,304.6,35.6
17,1946,32.1,364.2,47.9
17,1947,29.7,279.5,76.2
17,1948,26.8,258.2,96.6
17,1949,25.1,283.8,105.6
17,1950,29.9,316.6,104.6
17,1951,36.4,389.0,127.7
17,1952,40.1,414.2,159.2
17,1953,45.8,493.4,198.9
17,1954,46.5,435.0,227.4
18,1935,5.4,95.8,2.3
18,1936,8.9,142.2,3.8
18,1937,9.9,178.2,7.8
18,1938,7.1,129.4,12.7
18,1939,7.5,146.8,13.2
18,1940,10.6,180.5,12.1
18,1941,13.6,210.0,16.0
18,1942,12.6,174.3,22.6
18,1943,12.9,167.1,20.9
18,1944,12.5,155.3,14.6
18,1945,13.1,174.3,19.6
18,1946,16.4,208.9,27.2
18,1947,15.3,161.6,44.6
18,1948,13.8,149.9,57.6
18,1949,12.9,166.3,63.6
18,1950,15.4,187.6,63.0
18,1951,18.8,231.9,78.3
18,1952,20.8,246.4,98.9
18,1953,23.8,293.5,125.2
18,1954,24.2,258.5,142.0
19,1935,9.2,155.6,3.8
19,1936,15.0,231.5,6.0
19,1937,16.3,289.2,12.0
19,1938,11.6,210.0,19.2
19,1939,12.3,235.3,20.7
19,1940,17.1,286.4,19.6
19,1941,21.8,334.4,26.0
19,1942,20.3,277.7,36.7
19,1943,20.9,266.2,34.0
19,1944,20.3,247.4,23.0
19,1945,21.3,278.2,31.8
19,1946,26.5,334.2,44.1
19,1947,24.7,258.1,70.5
19,1948,22.3,240.3,89.7
19,1949,20.8,267.0,98.1
19,1950,24.8,301.9,97.1
19,1951,30.2,373.0,119.2
19,1952,33.4,397.2,150.5
19,1953,38.1,469.9,190.6
19,1954,38.7,413.4,214.0
20,1935,4.2,81.0,1.8
20,1936,6.9,120.2,3.0
20,1937,7.7,150.8,6.2
20,1938,5.5,109.2,10.3
20,1939,5.8,123.5,10.9
20,1940,8.2,150.3,10.1
20,1941,10.4,175.7,13.6
20,1942,9.6,146.4,19.9
20,1943,9.9,140.2,18.0
20,1944,9.5,130.4,11.8
20,1945,10.0,146.6,16.8
20,1946,12.5,176.3,24.2
20,1947,11.7,137.7,40.1
20,1948,10.4,128.0,51.4
20,1949,9.7,142.7,56.6
20,1950,11.6,162.4,55.9
20,1951,14.2,201.3,69.8
20,1952,15.7,213.3,88.9
20,1953,17.9,252.5,112.6
20,1954,18.2,222.7,127.0
