country,isocode,year,rgdpo,pop,emp,hc,cn,ctfp,output_per_worker,capital_per_worker,log_output_per_worker,log_capital_per_worker
United States,USA,2013,17764046.0,316.400538,145.97845458984375,3.7175486087799072,63225060.0,1.0,121689.50582407323,433112.2711063335,11.709228045381465,12.97875225999537
United States,USA,2014,18244220.0,318.673411,148.22064208984375,3.7228286266326904,64118460.0,1.0,123088.25371935233,432587.92497427366,11.720656886980814,12.9775408794307
United States,USA,2015,18785358.0,320.87831,150.24847412109375,3.728116273880005,65053528.0,1.0,125028.61083873516,432972.9694796746,11.736297876803754,12.978430578892095
United States,USA,2016,19095196.0,323.015995,152.39695739746094,3.7334113121032715,65971316.0,1.0,125299.06322341146,432891.29341304774,11.73845866458655,12.978241920991847
United States,USA,2017,19542980.0,325.08475599999997,154.6723175048828,3.7387139797210693,66940280.0,1.0,126350.85783455112,432787.72232714994,11.746817902144706,12.978002638106368
United States,USA,2018,20155260.0,327.09626499999996,156.6759033203125,3.7440237998962402,68005664.0,1.0,128643.01129187706,434053.11575556936,11.764796492813232,12.98092219212749
United States,USA,2019,20595844.0,329.064917,158.29959106445312,3.7493414878845215,69059488.0,1.0,130106.74166311783,436258.15793726087,11.77611048224426,12.985989452466647
Canada,CAN,1990,941469.375,27.541318999999998,13.290200233459473,3.2905988693237305,3675088.5,0.9644620418548584,70839.36723765472,276526.19489867275,11.168170159582099,12.530060832884608
Canada,CAN,1991,917014.0,27.88881,13.058436393737793,3.3113508224487305,3829316.5,0.9463671445846558,70223.87461639408,293244.6415894294,11.15944362644559,12.588762493848963
Canada,CAN,1992,925953.8125,28.224408999999998,12.93048095703125,3.332233428955078,3969052.25,0.9401195049285889,71610.16017710394,306953.18010129663,11.178992244796472,12.63445050712547
Canada,CAN,1993,947825.9375,28.547967,13.034626960754395,3.353247880935669,4095945.25,0.9238862991333008,72716.00026251488,314235.7094171065,11.194316725448092,12.65789865021435
Canada,CAN,1994,993124.5,28.860733999999997,13.291092872619629,3.3743948936462402,4226856.0,0.9209164381027222,74721.05638851492,318021.7037462399,11.221517210764707,12.669874910207675
Canada,CAN,1995,1042290.125,29.164151999999998,13.502547264099121,3.39567494392395,4327837.0,0.9309735298156738,77192.11083757985,320520.04080052,11.25405253956793,12.67770008318677
Canada,CAN,1996,1068538.625,29.457817,13.636177062988281,3.4170894622802734,4417465.0,0.913662850856781,78360.57129972735,323951.8656581554,11.269076162737965,12.688350220954453
Canada,CAN,1997,1111285.875,29.742382,13.899702072143555,3.4386391639709473,4423091.5,0.9258043766021729,79950.33772897422,318214.84209106426,11.289160942505514,12.67048203770458
Canada,CAN,1998,1127568.75,30.022073,14.223676681518555,3.46032452583313,4434234.5,0.9133861660957336,79274.07063921099,311750.23162341665,11.280666376085998,12.649957606520088
Canada,CAN,1999,1208232.0,30.302515,14.615461349487305,3.482146739959717,4436711.0,0.9328448176383972,82668.07123692907,303562.84306794294,11.322588727103971,12.623343929226866
Canada,CAN,2000,1284667.375,30.588383,14.952766418457031,3.5041067600250244,4290318.5,0.9717491865158081,85915.02997159533,286924.73218228173,11.361114063232503,12.56697520314173
Canada,CAN,2001,1273725.25,30.880073,15.07483196258545,3.518916130065918,4163947.75,0.9676312804222107,84493.4957259415,276218.5184109907,11.344429836725144,12.528947564816907
Canada,CAN,2002,1282036.25,31.178262999999998,15.427290916442871,3.533787727355957,4037697.5,0.96852046251297,83101.83926288491,261724.33785484012,11.327822113725981,12.475047083257294
Canada,CAN,2003,1346111.25,31.488048,15.770746231079102,3.548722505569458,4164733.0,0.9623969793319702,85354.949618506,264079.6408094274,11.354573718556416,12.484006006367968
Canada,CAN,2004,1406270.75,31.815493999999997,16.04599952697754,3.563720464706421,4314014.0,0.9593384861946106,87639.95958218057,268852.9307723716,11.380992332529248,12.50191978332169
Canada,CAN,2005,1514082.625,32.164308999999996,16.313701629638672,3.5787816047668457,4492993.0,0.9806755781173706,92810.48896034855,275412.2333485092,11.438314939977118,12.526024284582475
Canada,CAN,2006,1522705.125,32.536986999999996,16.594200134277344,3.5939064025878906,4746769.5,0.9547925591468811,91761.28482714071,286049.9127158873,11.426945753744683,12.56392159456077
Canada,CAN,2007,1555354.125,32.930794,16.98324203491211,3.609095335006714,4984728.5,0.9389939904212952,91581.69693411245,293508.65339803754,11.424986715566742,12.58966240128427
Canada,CAN,2008,1620558.5,33.337638,17.258270263671875,3.6243484020233154,5207502.5,0.945368230342865,93900.40109704537,301739.53822948475,11.449989936721261,12.617319468033926
Canada,CAN,2009,1457230.625,33.746093,16.97176742553711,3.6396656036376953,5555046.0,0.864663302898407,85862.0430307884,327310.9901118149,11.360497136403312,12.698666038024577
Canada,CAN,2010,1558715.625,34.147563999999996,17.295398712158203,3.65504789352417,5941241.0,0.8594292998313904,90123.13916210932,343515.700266769,11.408932227074335,12.746988096344616
Canada,CAN,2011,1649477.125,34.539159,17.594886779785156,3.662325143814087,6358923.0,0.8781705498695374,93747.52708810219,361407.4406722409,11.448360565757849,12.797761245396064
Canada,CAN,2012,1661054.375,34.92203,17.79371452331543,3.66961669921875,6781151.0,0.8512618541717529,93350.62517854212,381098.11142100394,11.444117846093047,12.850812131250104
Canada,CAN,2013,1723023.0,35.296527999999995,18.038745880126953,3.6769227981567383,7179643.5,0.8622586131095886,95517.8930647408,398012.3423053328,11.467068870853225,12.894238294603168
Canada,CAN,2014,1780581.875,35.664336999999996,18.14874839782715,3.6842434406280518,7604574.5,0.8731118440628052,98110.45015165782,419013.71561856323,11.493849165381116,12.945658932541706
Canada,CAN,2015,1691290.5,36.026676,18.355836868286133,3.6915786266326904,8006907.0,0.8283968567848206,92139.11150638343,436204.9552659594,11.43105479557803,12.985867492762994
Canada,CAN,2016,1711195.0,36.382943999999995,18.541105270385742,3.6989285945892334,8184791.5,0.8281673789024353,92291.96291405335,441440.32303580776,11.43271234101224,12.997798121228227
Canada,CAN,2017,1796296.5,36.732095,18.85181427001953,3.7062931060791016,8087273.5,0.8584073781967163,95285.07305828336,428991.7874303151,11.46462844629654,12.969193054207835
Canada,CAN,2018,1833635.0,37.074562,18.966228485107422,3.713672161102295,8248540.5,0.8549866676330566,96678.94707900407,434906.73469830246,11.479150943974126,12.982886884090806
Canada,CAN,2019,1866214.875,37.411046999999996,19.298662185668945,3.7210659980773926,8427519.0,0.8494088649749756,96701.77430152845,436689.28544996335,11.479387029789377,12.98697720390809
Mexico,MEX,1990,1039442.875,83.94313199999999,28.222749710083008,2.180863857269287,2771059.5,0.8722278475761414,36829.96468018292,98185.31250376347,10.514067050442803,11.494611915984821
Mexico,MEX,1991,1080070.625,85.51262299999999,29.140775680541992,2.2034668922424316,2924482.5,0.8720859289169312,37063.89414064875,100357.05748055116,10.52039857096918,11.516489680406758
Mexico,MEX,1992,1118539.625,87.075138,30.072704315185547,2.226304054260254,3093436.0,0.8445730209350586,37194.51411076393,102865.24176802866,10.523916559245693,11.54117507824853
Mexico,MEX,1993,1129728.75,88.62544,30.835588455200195,2.249377965927124,3279226.75,0.8015393614768982,36637.17174203885,106345.52198555441,10.508818625362192,11.574448713353116
Mexico,MEX,1994,1177160.25,90.15639999999999,31.70289421081543,2.272691011428833,3504144.5,0.7976087331771851,37131.00268297941,110530.74450232883,10.522207551465257,11.613048992031242
Mexico,MEX,1995,1116871.375,91.663285,32.004947662353516,2.296245813369751,3554791.75,0.7411594390869141,34896.83491386374,111070.06915000826,10.460151413930747,11.6179165347414
Mexico,MEX,1996,1144139.0,93.147044,33.091346740722656,2.32004451751709,3642623.25,0.7254204154014587,34575.17184067964,110077.81818433333,10.450891126605342,11.608942832697611
Mexico,MEX,1997,1230294.75,94.611002,33.926212310791016,2.344089984893799,3831850.0,0.7408900260925293,36263.84044082269,112946.59023227275,10.498576392677812,11.634670333147183
Mexico,MEX,1998,1327062.875,96.056321,35.243160247802734,2.368384838104248,4065955.25,0.7552770376205444,37654.480065610376,115368.63384019303,10.536207218595491,11.655887792299634
Mexico,MEX,1999,1370623.0,97.484832,36.636566162109375,2.3929312229156494,4291318.0,0.7203131914138794,37411.33909589865,117132.10187362506,10.529729121833842,11.671057652696094
Mexico,MEX,2000,1468585.75,98.899845,37.87933349609375,2.417732000350952,4245080.5,0.7570279836654663,38770.10534389275,112068.5109318982,10.565404747810954,11.626865668011234
Mexico,MEX,2001,1469006.75,100.298153,38.76219940185547,2.437087297439575,4195834.5,0.7533801794052124,37897.92046551625,108245.5217904677,10.542651520581419,11.592157275867834
Mexico,MEX,2002,1450549.75,101.684758,39.60875701904297,2.4565975666046143,4139970.5,0.7245290875434875,36621.94573040021,104521.59602003159,10.50840294981536,11.557148989514438
Mexico,MEX,2003,1466690.375,103.08102,40.27932357788086,2.4762637615203857,4383813.0,0.7064332962036133,36412.98424895655,108835.31823775073,10.502680700155066,11.597591176883352
Mexico,MEX,2004,1556657.875,104.514932,41.62960433959961,2.4960875511169434,4685785.0,0.7089965343475342,37393.049962746096,112558.96072840426,10.529240136261015,11.631232458700197
Mexico,MEX,2005,1657727.125,106.005203,42.07913589477539,2.5160701274871826,5090227.0,0.7131288647651672,39395.4649911389,120967.95458748976,10.581405986913566,11.703280951383151
Mexico,MEX,2006,1719215.625,107.560153,43.37845993041992,2.53621244430542,5222048.0,0.7268359661102295,39632.9336670242,120383.43473641732,10.58741570986465,11.698437217145436
Mexico,MEX,2007,1774017.0,109.170502,44.23125076293945,2.556516170501709,5367197.0,0.7387349009513855,40107.773788898055,121344.00242864204,10.599325454578496,11.70638478618916
Mexico,MEX,2008,1824207.875,110.815271,44.94352722167969,2.5714151859283447,5541864.0,0.7331355810165405,40588.88983061493,123307.2778793102,10.611249658648726,11.722434713195643
Mexico,MEX,2009,1766855.0,112.463887,45.43535232543945,2.585256814956665,6312220.5,0.6885883808135986,38887.230087808304,138927.51298124655,10.568421200334702,11.84170758674642
Mexico,MEX,2010,1925128.875,114.092963,46.121620178222656,2.599172830581665,7250142.5,0.6545701026916504,41740.269911614945,157196.17983895793,10.639221647108007,11.96524985740307
Mexico,MEX,2011,2105667.0,115.69547299999999,47.13888931274414,2.618360757827759,8412004.0,0.6593456864356995,44669.42328721196,178451.4680477588,10.707044503745966,12.092071955546047
Mexico,MEX,2012,2212091.25,117.274155,48.70673370361328,2.637690305709839,8657770.0,0.6653966903686523,45416.5385726922,177753.04032258948,10.723631603435617,12.08815045200635
Mexico,MEX,2013,2223324.0,118.82716099999999,49.22731018066406,2.657162666320801,8908719.0,0.6554238796234131,45164.44209200967,180971.07006872873,10.718065376845404,12.10609246359874
Mexico,MEX,2014,2243083.0,120.355128,49.415409088134766,2.676778793334961,9234382.0,0.6474144458770752,45392.379449886845,186872.51953191432,10.723099516413738,12.138181949631178
Mexico,MEX,2015,2256618.5,121.85825799999999,50.611331939697266,2.6965396404266357,9640361.0,0.626861572265625,44587.218188383806,190478.31049944236,10.705202509229652,12.157293611420874
Mexico,MEX,2016,2332703.5,123.333376,51.59475326538086,2.7164463996887207,9771858.0,0.6346129179000854,45212.029370536824,189396.3510153413,10.719118466928583,12.151597193526037
Mexico,MEX,2017,2363270.5,124.777324,52.34075164794922,2.7365002632141113,9992445.0,0.6221978664398193,45151.63473187524,190911.37756695776,10.717781764875737,12.159564607555232
Mexico,MEX,2018,2422897.0,126.190788,53.721195220947266,2.756701946258545,10183529.0,0.6153634190559387,45101.32341685597,189562.5917874065,10.716666869114697,12.152474548637382
Mexico,MEX,2019,2390322.5,127.57552899999999,54.993595123291016,2.777052879333496,10357724.0,0.592694103717804,43465.470745113096,188344.18766001484,10.6797221258954,12.146026353392715
Brazil,BRA,1990,954572.0,149.003223,61.63193130493164,1.7166913747787476,3135506.0,0.6113215684890747,15488.270118895616,50874.6997475496,9.647838249892143,10.837121020959414
Brazil,BRA,1991,1041851.125,151.648011,61.448883056640625,1.7446271181106567,3337222.0,0.6461644172668457,16954.760984665445,54308.91228606888,9.738303957419115,10.902443622952596
Brazil,BRA,1992,1071128.5,154.25938,61.269615173339844,1.7730175256729126,3546791.75,0.6274257898330688,17482.213605710363,57888.2654961298,9.76893927767409,10.966269974560433
Brazil,BRA,1993,1155152.375,156.849078,61.982177734375,1.8018697500228882,3777885.75,0.6469814777374268,18636.84719098468,60951.161899960214,9.832895931818886,11.017828197893595
Brazil,BRA,1994,1300092.75,159.432716,62.45842361450195,1.8311915397644043,4034130.75,0.6931501626968384,20815.33081949473,64589.05807323854,9.943445052824648,11.075800295753107
Brazil,BRA,1995,1513901.75,162.019896,62.93206024169922,1.8609905242919922,4294697.5,0.7693663835525513,24056.12885047228,68243.3958701753,10.088145080925731,11.130835944558331
Brazil,BRA,1996,1817952.625,164.614688,61.78388977050781,1.8964483737945557,4514509.5,0.8835272789001465,29424.379587505176,73069.36349862153,10.289578847369413,11.199164453903222
Brazil,BRA,1997,1761591.875,167.20904,62.79587173461914,1.9325817823410034,4714347.0,0.8209696412086487,28052.670125269407,75074.15487316178,10.241839098052115,11.226231635687427
Brazil,BRA,1998,1687990.125,169.78525,62.611366271972656,1.969403862953186,4882688.0,0.7547860145568848,26959.803395244093,77984.05131091486,10.202102272538381,11.264259614391925
Brazil,BRA,1999,1630691.75,172.31867499999998,65.88960266113281,2.006927251815796,4974180.5,0.6932846903800964,24748.847832435302,75492.64677739795,10.11653421468841,11.231790536817195
Brazil,BRA,2000,1653572.375,174.79034,68.13045501708984,2.045165777206421,5062075.5,0.6682460904121399,24270.67857663974,74299.74596133592,10.097024257812267,11.215862811606277
Brazil,BRA,2001,1645849.75,177.196054,68.45639038085938,2.0859029293060303,5172151.0,0.6522585153579712,24042.30986827177,75553.95444055066,10.087570468404042,11.232602308363527
Brazil,BRA,2002,1657569.0,179.53752,71.25364685058594,2.1274518966674805,5286129.5,0.6292266249656677,23262.935628765917,74187.49402517818,10.054616627428187,11.214350870815249
Brazil,BRA,2003,1651363.0,181.809246,72.30458068847656,2.169828176498413,5422354.5,0.6026086211204529,22838.98176679674,74993.23622886564,10.036224081637682,11.225153204836536
Brazil,BRA,2004,1738794.25,184.00648099999998,76.1592788696289,2.2130486965179443,5621436.5,0.5951642394065857,22831.02303235441,73811.57730790619,10.035875549398288,11.20927087237598
Brazil,BRA,2005,1802951.5,186.127103,78.41477966308594,2.2571301460266113,5873957.0,0.5924561023712158,22992.4959012382,74908.79940283997,10.042923176511673,11.224026644618725
Brazil,BRA,2006,1967472.0,188.16735599999998,80.87911987304688,2.2988085746765137,6341264.5,0.606076717376709,24326.080737380325,78404.2223747447,10.099304335147647,11.269633061708996
Brazil,BRA,2007,2191638.75,190.13044299999999,81.3537826538086,2.3412563800811768,7198622.0,0.6298295855522156,26939.604754781467,88485.40000448271,10.201352778542011,11.390592845685934
Brazil,BRA,2008,2439878.75,192.030362,82.75995635986328,2.384488344192505,8504678.0,0.6401033401489258,29481.392418704636,102763.20063557425,10.291514577844042,11.54018259744541
Brazil,BRA,2009,2531593.25,193.886508,83.15142822265625,2.428518533706665,10118052.0,0.6077969074249268,30445.57747367973,121682.23945482558,10.323696023630228,11.709168331224905
Brazil,BRA,2010,2938155.5,195.71363499999998,86.35382843017578,2.4733617305755615,11923873.0,0.6219223737716675,34024.6119183441,138081.57920457967,10.434839421674873,11.835599943133225
Brazil,BRA,2011,3280995.75,197.514536,88.6289291381836,2.5608959197998047,13090676.0,0.6418208479881287,37019.467366964534,147702.0666648245,10.51919919831368,11.902952460735897
Brazil,BRA,2012,3271619.0,199.287299,89.50627136230469,2.6218743324279785,13095177.0,0.6265639662742615,36551.8410073982,146304.57509500274,10.506486833468879,11.893445858528844
Brazil,BRA,2013,3306056.0,201.035912,91.148193359375,2.684304714202881,13133923.0,0.6181328892707825,36271.21809167441,144094.1670474604,10.498779815712863,11.87822230266355
Brazil,BRA,2014,3297538.25,202.763739,92.83358764648438,2.7482216358184814,13214635.0,0.6005054116249084,35520.96104006251,142347.5633659887,10.477878253048157,11.86602697535553
Brazil,BRA,2015,3082939.0,204.471769,92.44722747802734,2.8136603832244873,12895949.0,0.5591862201690674,33348.09581750568,139495.24882252506,10.414755952787312,11.845785821043657
Brazil,BRA,2016,2931514.0,206.163053,90.62647247314453,2.880657434463501,12480113.0,0.5388879776000977,32347.215112766302,137709.35422536996,10.384283210064728,11.832900614329375
Brazil,BRA,2017,2968825.5,207.833823,90.50138854980469,2.9492499828338623,12429477.0,0.539283812046051,32804.19833963318,137340.18006983193,10.398311784340718,11.830216193298257
Brazil,BRA,2018,3042121.5,209.469323,92.0909423828125,3.0194754600524902,12543270.0,0.5332464575767517,33033.883911777295,136205.25184614712,10.405289098870625,11.821918231764323
Brazil,BRA,2019,3080048.5,211.04952699999998,93.95682525634766,3.0913732051849365,12706970.0,0.5207929611206055,32781.53015064666,135242.64964605673,10.397620530605767,11.814825848807189
United Kingdom,GBR,1990,1445536.75,57.134391,26.703500747680664,3.1971662044525146,4052509.5,0.8508840203285217,54132.855600423565,151759.48420740233,10.899196592887336,11.930052205864337
United Kingdom,GBR,1991,1401682.75,57.290785,25.989843368530273,3.227114200592041,4235582.5,0.8452340960502625,53931.942956502135,162970.68204453448,10.895478215060425,12.001325598853837
United Kingdom,GBR,1992,1399794.875,57.446037,25.371501922607422,3.25734281539917,4437697.5,0.8195178508758545,55171.93579118408,174908.74263323625,10.918209693401216,12.072019646225314
United Kingdom,GBR,1993,1438639.75,57.602284,25.143829345703125,3.2878546714782715,4638598.0,0.8343781232833862,57216.41402429625,184482.55976541212,10.9545960946699,12.125310210978023
United Kingdom,GBR,1994,1479402.125,57.763377999999996,25.350570678710938,3.3186521530151367,4939055.5,0.8320370316505432,58357.744436987436,194830.15047656308,10.974347352763496,12.179883434787646
United Kingdom,GBR,1995,1626361.0,57.932452999999995,25.66979217529297,3.349738359451294,5152430.5,0.863714873790741,63356.99910984723,200719.60321358524,11.05654066283269,12.209664204222813
United Kingdom,GBR,1996,1724950.0,58.113557,25.9245548248291,3.381115436553955,5453878.0,0.8332551717758179,66537.30456146304,210374.99146471662,11.105518040207686,12.256646890921349
United Kingdom,GBR,1997,1829166.375,58.307313,26.40801429748535,3.4127864837646484,6110673.5,0.8442774415016174,69265.57803227857,231394.66039223844,11.145703352286041,12.351880018247465
United Kingdom,GBR,1998,1879454.625,58.509974,26.690898895263672,3.4447546005249023,6148160.5,0.8640184998512268,70415.5612133959,230346.70072842686,11.162169557683411,12.347340847398138
United Kingdom,GBR,1999,1958917.875,58.715854,27.067028045654297,3.4770219326019287,6006644.0,0.8922541737556458,72372.84683401031,221917.38191088132,11.18958646429818,12.310060438033508
United Kingdom,GBR,2000,2075158.75,58.923308999999996,27.380348205566406,3.5095913410186768,5987333.0,0.9317963123321533,75790.07887044043,218672.63904199653,11.235722677449951,12.29533109157719
United Kingdom,GBR,2001,2121908.25,59.124288,27.595714569091797,3.5284812450408936,5899284.0,0.9817264080047607,76892.67276219092,213775.36665085718,11.250165868277731,12.272681054147734
United Kingdom,GBR,2002,2123617.0,59.326294,27.803613662719727,3.5474727153778076,5825548.5,0.9854024052619934,76379.17235367993,209524.8686256616,11.243465324817159,12.252597715956584
United Kingdom,GBR,2003,2166739.25,59.561431999999996,28.0600528717041,3.5665664672851562,5956338.0,0.9763892889022827,77217.93183736125,212271.0896958573,11.254386986726608,12.265619461762117
United Kingdom,GBR,2004,2220801.25,59.872752999999996,28.353534698486328,3.5857629776000977,6250317.5,0.968483567237854,78325.3754290663,220442.26818512604,11.268626909030306,12.30339111729792
United Kingdom,GBR,2005,2377112.25,60.287954,28.67258644104004,3.60506272315979,6797018.0,0.9739524722099304,82905.40007222924,237056.32604776803,11.325455478594527,12.376053054528786
United Kingdom,GBR,2006,2415816.25,60.821355999999994,29.001075744628906,3.62446665763855,7366976.0,0.9641351103782654,83300.91860290448,254024.2322343642,11.330214855740042,12.445184943947641
United Kingdom,GBR,2007,2412173.5,61.455161999999994,29.31574249267578,3.643974781036377,7667142.0,0.9488338232040405,82282.53132604966,261536.68125293267,11.317914108073076,12.474329825127604
United Kingdom,GBR,2008,2496842.75,62.145097,29.663253784179688,3.663587808609009,8823651.0,0.9176313281059265,84172.92209972063,297460.6583687026,11.34062855824458,12.603037254445768
United Kingdom,GBR,2009,2321851.75,62.828616,29.288875579833984,3.6833064556121826,9774453.0,0.8464430570602417,79274.1853018982,333725.7851827511,11.280667822493422,12.718074932304898
United Kingdom,GBR,2010,2481864.75,63.459807999999995,29.42511749267578,3.7031314373016357,10976813.0,0.8309268951416016,84345.109263124,373042.28276173386,11.34267210482453,12.829447050811897
United Kingdom,GBR,2011,2517183.5,64.021919,29.605070114135742,3.710895299911499,10501493.0,0.8466700315475464,85025.41930471911,354719.4098684393,11.350705541409477,12.779082361194153
United Kingdom,GBR,2012,2585394.25,64.525312,29.953094482421875,3.7186756134033203,11539438.0,0.8185041546821594,86314.76295436693,385250.2787907933,11.365755927961377,12.86164847684412
United Kingdom,GBR,2013,2685292.0,64.98401799999999,30.31403923034668,3.7264721393585205,12954237.0,0.8046185374259949,88582.4544725078,427334.572656745,11.39168908619815,12.965322527923226
United Kingdom,GBR,2014,2700870.5,65.423047,31.011104583740234,3.7342848777770996,12899374.0,0.7888423204421997,87093.65681273161,415959.8367471054,11.374739333698738,12.938343988301511
United Kingdom,GBR,2015,2807567.5,65.860146,31.506929397583008,3.742114305496216,13923109.0,0.7875267863273621,89109.5245928782,441906.249393763,11.397621505533372,12.99885303311832
United Kingdom,GBR,2016,2827233.5,66.297944,31.938474655151367,3.74996018409729,13473861.0,0.7988529205322266,88521.24375150754,421869.2703856725,11.390997844580372,12.952450759208668
United Kingdom,GBR,2017,2942276.25,66.72746099999999,32.243064880371094,3.757822275161743,13706323.0,0.8128301501274109,91252.99536245999,425093.6767597464,11.421391096795952,12.960064839523822
United Kingdom,GBR,2018,2974124.5,67.141684,32.631744384765625,3.7657008171081543,13915238.0,0.7993321418762207,91142.0629228909,426432.5509517178,11.420174699221478,12.963209487925065
United Kingdom,GBR,2019,2989895.5,67.530172,32.98249816894531,3.7735960483551025,14146595.0,0.7871400117874146,90650.97145416164,428912.17419424385,11.414771932663486,12.969007454793774
France,FRA,1990,1581094.75,58.235696999999995,23.659503936767578,2.8011343479156494,6432617.0,1.0209871530532837,66827.0456652699,271883.0038529895,11.10986315281347,12.513127119851026
France,FRA,1991,1586835.25,58.512369,23.685340881347656,2.810061454772949,6642135.5,1.0224605798721313,66996.51307318282,280432.3371689668,11.112395853334945,12.544087752632109
France,FRA,1992,1615930.0,58.773365,23.526134490966797,2.819016933441162,6828187.5,0.9957281351089478,68686.59195247141,290238.39435338526,11.137309291076374,12.57845791375946
France,FRA,1993,1612599.0,59.022518999999996,23.282968521118164,2.828001022338867,6987828.5,0.9886645078659058,69260.88477667,300126.18423900224,11.145635592588505,12.611958279335019
France,FRA,1994,1645412.25,59.265653,23.411144256591797,2.8370134830474854,7139609.5,0.9960854053497314,70283.29038366875,304966.27681877295,11.160289359413245,12.627956481669177
France,FRA,1995,1682645.0,59.508483999999996,23.65852165222168,2.846054792404175,7275160.5,1.0080455541610718,71122.15313935262,307506.97811740986,11.172154144467319,12.636253059035974
France,FRA,1996,1720381.5,59.748767,23.806283950805664,2.8551251888275146,7368295.0,1.0074114799499512,72265.85650893986,309510.5063531194,11.188107049147026,12.642747316744261
France,FRA,1997,1819024.125,59.988873,24.00385284423828,2.8642241954803467,7246787.0,1.0582866668701172,75780.50643801651,301900.9926041714,11.23559636755391,12.617854403547
France,FRA,1998,1921072.875,60.244336999999994,24.439313888549805,2.873352289199829,7124163.0,1.1052285432815552,78605.84318204007,291504.2145818087,11.272201316392586,12.582809742924798
France,FRA,1999,2011288.125,60.535179,25.020395278930664,2.882509469985962,7006717.5,1.1299272775650024,80385.94524898168,280040.2400476967,11.294594629549902,12.542688586281512
France,FRA,2000,2128715.25,60.874356999999996,25.625225067138672,2.891695737838745,6962127.0,1.1732499599456787,83071.08501184742,271690.3746897469,11.327451966164062,12.512418368543804
